City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,teya,60.3778,92.6267,-9.34,82,100,3.49,RU,1681099175
316,sibu,2.3,111.8167,30.17,70,40,1.03,MY,1681099175
317,porto novo,6.4965,2.6036,27.9,84,100,3.0,BJ,1681099176
318,acapulco,16.8634,-99.8901,26.76,72,11,2.32,MX,1681099111
319,koslan,63.4564,48.8989,-2.62,89,100,3.52,RU,1681099177
320,guadalajara,20.6667,-103.3333,22.77,31,100,3.13,MX,1681099074
321,matagami,49.7502,-77.6328,5.06,38,0,5.14,CA,1681099177
322,morant bay,17.8815,-76.4093,26.79,84,45,2.09,JM,1681099178
323,luklukan,14.3254,122.7124,27.21,75,99,5.19,PH,1681099178
324,olafsvik,64.8945,-23.7142,4.65,87,90,6.34,IS,1681099178
325,nouakchott,18.0858,-15.9785,17.96,84,99,6.48,MR,1681099179
326,raffadali,37.4036,13.5331,7.65,85,0,2.81,IT,1681099179
327,ouadda,8.0777,22.4007,20.99,77,98,1.83,CF,1681099180
328,la ronge,55.1001,-105.2842,11.12,37,20,3.09,CA,1681099180
329,vitim,59.4511,112.5578,-5.13,90,100,3.25,RU,1681099180
330,kutum,14.2,24.6667,22.64,12,47,1.83,SD,1681099181
331,buala,-8.145,159.5921,28.61,75,100,1.28,SB,1681099181
332,lewistown,40.5992,-77.5714,6.77,77,0,0.0,US,1681099053
333,verkhnevilyuysk,63.4453,120.3167,-10.33,78,100,1.7,RU,1681099182
334,hamilton,39.1834,-84.5333,10.55,62,0,0.0,US,1681098727
335,constantine,36.365,6.6147,4.67,75,0,1.03,DZ,1681099182
336,topolovgrad,42.0833,26.3333,2.58,82,100,2.43,BG,1681099183
337,esil,51.9556,66.4042,5.57,35,3,2.72,KZ,1681099183
338,nkhotakota,-12.9274,34.2961,21.0,90,85,1.52,MW,1681099184
339,atar,20.5169,-13.0499,22.13,19,0,0.92,MR,1681099184
340,kearney,40.6995,-99.0815,14.31,62,40,1.54,US,1681099185
341,rio cuarto,-33.1307,-64.3499,18.87,77,0,5.14,AR,1681099186
342,nishihara,26.1842,127.7558,22.81,60,75,6.69,JP,1681099186
343,gulbarga,17.3333,76.8333,32.15,25,0,4.14,IN,1681099187
344,iqaluit,63.7506,-68.5145,-24.15,84,20,1.54,CA,1681099187
345,luanda,-8.8368,13.2343,27.0,83,75,3.09,AO,1681099187
346,coquimbo,-29.9533,-71.3436,14.85,94,40,1.03,CL,1681098800
347,santa rosa,14.3122,121.1114,32.27,62,95,4.3,PH,1681098936
348,ust-kut,56.7938,105.7672,-4.78,65,100,5.01,RU,1681099031
349,los llanos de aridane,28.6585,-17.9182,17.86,72,75,7.2,ES,1681099190
350,la grande,45.3246,-118.0877,12.78,60,100,3.15,US,1681099190
351,esperance,-33.8667,121.9,23.86,52,13,3.77,AU,1681099190
352,qasigiannguit,68.8193,-51.1922,-14.42,99,84,1.27,GL,1681099191
353,zhezkazgan,47.8043,67.7144,6.99,39,20,4.0,KZ,1681099191
354,bajil,15.0584,43.2851,27.98,66,0,1.29,YE,1681099191
355,manokwari,-0.8667,134.0833,28.3,72,60,1.99,ID,1681099155
356,puerto carreno,6.189,-67.4859,24.43,80,100,3.62,CO,1681099192
357,gornopravdinsk,60.05,69.9,-1.09,90,100,5.54,RU,1681099193
358,plettenberg bay,-34.0527,23.3716,13.24,72,2,3.83,ZA,1681099193
359,leningradskiy,69.3833,178.4167,-17.86,90,100,5.57,RU,1681099194
360,nandu,22.8525,110.8233,22.09,83,98,0.73,CN,1681099194
361,kavaratti,10.5669,72.642,28.07,71,17,2.21,IN,1681099194
362,lima,-12.0432,-77.0282,24.94,78,0,8.23,PE,1681099195
363,port blair,11.6667,92.75,32.02,62,40,1.03,IN,1681099195
364,kokino,52.4964,34.7808,6.44,90,6,1.1,RU,1681099195
365,tuatapere,-46.1333,167.6833,15.82,75,100,1.18,NZ,1681099196
366,high level,58.5169,-117.136,9.06,46,100,3.09,CA,1681098902
367,graciano sanchez,23.9167,-99.2833,20.77,95,100,1.39,MX,1681099196
368,genhe,50.7833,121.5167,6.29,53,100,6.81,CN,1681099197
369,manyana,-23.4,21.7167,16.53,84,40,1.74,BW,1681099197
370,irati,-25.4672,-50.6511,15.95,98,91,0.69,BR,1681099078
371,sassandra,4.95,-6.0833,25.68,89,100,2.03,CI,1681099198
372,itarema,-2.9248,-39.9167,24.43,89,80,2.26,BR,1681099198
373,alta floresta,-9.8756,-56.0861,21.61,97,93,0.92,BR,1681099193
374,loukhi,66.0764,33.0381,-0.24,90,100,1.84,RU,1681099199
375,yanggu,36.1106,115.7753,27.24,33,4,8.01,CN,1681099199
376,grand gaube,-20.0064,57.6608,27.43,75,98,2.24,MU,1681099199
377,sfantu gheorghe,45.8667,25.7833,2.93,92,81,0.9,RO,1681099200
378,yangambi,0.8102,24.4336,20.87,88,82,0.81,CD,1681099200
379,sahiwal,30.6667,73.1,31.42,12,0,3.07,PK,1681099202
380,kamenka,51.3223,42.7678,6.12,58,35,1.72,RU,1681099204
381,safaga,26.7292,33.9365,24.8,56,66,1.3,EG,1681099205
382,kalmunai,7.4167,81.8167,29.42,65,89,4.2,LK,1681099206
383,xingyi,24.1877,102.817,27.11,17,0,5.76,CN,1681099206
384,cururupu,-1.8283,-44.8683,22.97,98,85,0.6,BR,1681099208
385,torbay,47.6666,-52.7314,-4.12,62,40,7.2,CA,1681099158
386,sibolga,1.7427,98.7792,29.66,64,91,1.93,ID,1681099212
387,sumenep,-7.0167,113.8667,30.48,66,95,1.93,ID,1681099215
388,bua yai,15.5855,102.4259,33.81,58,22,3.67,TH,1681099216
389,sao jose da coroa grande,-8.8978,-35.1478,23.6,90,98,1.32,BR,1681099219
390,tabou,4.423,-7.3528,24.56,93,100,1.09,CI,1681099219
391,mamontovo,52.7055,81.6244,6.06,42,17,6.51,RU,1681099219
392,tocopilla,-22.092,-70.1979,20.44,83,4,4.28,CL,1681099225
393,lichinga,-13.3128,35.2406,14.2,97,82,1.9,MZ,1681099228
394,yulara,-25.2406,130.9889,34.78,20,25,6.51,AU,1681099228
395,polyarnyy,69.1989,33.4478,0.56,91,94,7.92,RU,1681099230
396,zhigansk,66.7697,123.3711,-16.76,78,98,1.44,RU,1681099237
397,vanderhoof,54.0166,-124.0198,1.36,70,95,4.8,CA,1681099237
398,cayenne,4.9333,-52.3333,24.02,94,75,2.06,GF,1681099112
399,palau,7.503,134.621,28.98,74,75,4.12,PW,1681099240
400,jacareacanga,-6.2222,-57.7528,22.86,98,63,0.54,BR,1681099241
401,bure,10.7,37.0667,16.85,58,98,1.72,ET,1681099241
402,mugur-aksy,50.35,90.5,-5.92,43,12,2.63,RU,1681099242
403,kaili,-3.4626,120.2147,28.93,53,64,2.33,ID,1681099242
404,maceio,-9.6658,-35.7353,23.69,94,40,1.54,BR,1681099240
405,naze,28.3667,129.4833,20.51,60,0,5.64,JP,1681099243
406,barcelos,41.5388,-8.6151,13.8,84,100,1.21,PT,1681099243
407,rani,25.3503,73.3089,32.48,9,92,2.16,IN,1681099244
408,kerman,30.2832,57.0788,8.92,37,0,2.06,IR,1681099236
409,biloela,-24.4167,150.5,28.66,20,0,5.45,AU,1681099244
410,abu dhabi,24.4667,54.3667,25.54,75,0,0.51,AE,1681099245
411,christchurch,-43.5333,172.6333,18.86,82,75,6.17,NZ,1681099246
412,novoagansk,61.9449,76.6625,-4.63,94,100,4.69,RU,1681099246
413,nanortalik,60.1432,-45.2371,-2.71,94,99,1.24,GL,1681099191
414,matara,5.9485,80.5353,30.99,53,3,3.55,LK,1681099247
415,shimoda,34.6667,138.95,20.61,59,0,5.37,JP,1681099247
416,sunrise manor,36.2111,-115.0731,25.23,18,0,3.6,US,1681099248
417,saint-joseph,-21.3667,55.6167,25.26,79,100,1.22,RE,1681099248
418,swan hill,-35.3378,143.5544,16.24,49,86,5.92,AU,1681099249
419,rtishchevo,52.2604,43.7874,5.24,48,2,2.05,RU,1681099249
420,evensk,61.95,159.2333,-4.12,64,57,9.69,RU,1681099249
421,severo-kurilsk,50.6789,156.125,-0.72,91,100,13.01,RU,1681099250
422,senador jose porfirio,-2.5908,-51.9542,23.14,95,90,1.01,BR,1681099250
423,bairiki,1.3292,172.9752,30.0,79,40,2.57,KI,1681099251
424,bisira,8.5196,-81.7115,13.04,96,90,0.81,PA,1681099251
425,mae sai,20.4335,99.8762,38.57,14,6,1.19,TH,1681099252
426,bonthe,7.5264,-12.505,26.04,78,99,0.1,SL,1681099252
